date,bike_rides_daily,avgTemp,Season,month
2022-01-01,19905,11.6,winter,January
2022-01-02,41920,11.4,winter,January
2022-01-03,32309,1.4,winter,January
2022-01-04,35935,-2.7,winter,January
2022-01-05,33411,3.2,winter,January
2022-01-06,43709,4.9,winter,January
2022-01-07,16991,0.7,winter,January
2022-01-08,23905,-2.5,winter,January
2022-01-09,20986,1.4,winter,January
2022-01-10,33897,1.6,winter,January
2022-01-11,26189,-5.4,winter,January
2022-01-12,39586,-1.9,winter,January
2022-01-13,49440,4.0,winter,January
2022-01-14,44687,4.8,winter,January
2022-01-15,22302,-6.7,winter,January
2022-01-16,20425,-8.0,winter,January
2022-01-17,28397,3.9,winter,January
2022-01-18,41866,1.8,winter,January
2022-01-19,52767,3.2000000000000006,winter,January
2022-01-20,33065,5.1,winter,January
2022-01-21,32800,-6.0,winter,January
2022-01-22,31264,-5.9,winter,January
2022-01-23,32239,-0.7,winter,January
2022-01-24,40441,-0.2,winter,January
2022-01-25,49440,3.6,winter,January
2022-01-26,40975,-2.3,winter,January
2022-01-27,42757,-4.2,winter,January
2022-01-28,34039,0.1,winter,January
2022-01-29,2779,-4.8,winter,January
2022-01-30,9263,-7.1000000000000005,winter,January
2022-01-31,21811,-3.4,winter,January
2022-02-01,24631,-1.7,winter,February
2022-02-02,35153,2.3,winter,February
2022-02-03,22159,6.4,winter,February
2022-02-04,17062,5.8,winter,February
2022-02-05,24652,-2.8,winter,February
2022-02-06,24150,-4.8,winter,February
2022-02-07,25647,0.5,winter,February
2022-02-08,43469,4.1,winter,February
2022-02-09,46794,2.8,winter,February
2022-02-10,51870,6.3,winter,February
2022-02-11,54163,8.6,winter,February
2022-02-12,57278,11.8,winter,February
2022-02-13,17008,2.8,winter,February
2022-02-14,28731,-4.3,winter,February
2022-02-15,33826,-4.7,winter,February
2022-02-16,44840,1.6,winter,February
2022-02-17,56369,11.6,winter,February
2022-02-18,39420,9.9,winter,February
2022-02-19,26948,0.1,winter,February
2022-02-20,25805,-2.6,winter,February
2022-02-21,43769,4.1,winter,February
2022-02-22,30475,5.6,winter,February
2022-02-23,55351,14.4,winter,February
2022-02-24,37022,1.1,winter,February
2022-02-25,25280,0.8,winter,February
2022-02-26,34571,-1.1,winter,February
2022-02-27,35525,2.4,winter,February
2022-02-28,37995,0.8,winter,February
2022-03-01,30295,2.6,winter,March
2022-03-02,36366,7.7,winter,March
2022-03-03,29837,5.6,winter,March
2022-03-04,26918,-1.9,winter,March
2022-03-05,27779,3.1000000000000005,winter,March
2022-03-06,29266,9.6,winter,March
2022-03-07,36895,18.2,winter,March
2022-03-08,34123,8.7,winter,March
2022-03-09,15202,3.2,winter,March
2022-03-10,35485,4.0,winter,March
2022-03-11,37370,7.2,winter,March
2022-03-12,10556,5.1,winter,March
2022-03-13,16821,-2.3,winter,March
2022-03-14,34292,5.3,winter,March
2022-03-15,42810,11.6,winter,March
2022-03-16,44297,13.6,winter,March
2022-03-17,27096,8.2,winter,March
2022-03-18,50939,13.9,winter,March
2022-03-19,42066,13.1,winter,March
2022-03-20,35354,14.3,winter,March
2022-03-21,40020,10.4,winter,March
2022-03-22,40940,10.7,winter,March
2022-03-23,33118,7.2,winter,March
2022-03-24,24419,5.700000000000001,winter,March
2022-03-25,40622,9.6,winter,March
2022-03-26,33670,10.4,winter,March
2022-03-27,24781,5.900000000000001,winter,March
2022-03-28,20586,-1.5,winter,March
2022-03-29,26001,-1.2,winter,March
2022-03-30,33036,2.6,winter,March
2022-03-31,39103,9.9,winter,March
2022-04-01,30177,13.1,winter,April
2022-04-02,32627,7.2,winter,April
2022-04-03,16274,7.0,winter,April
2022-04-04,30434,7.6,winter,April
2022-04-05,32017,9.7,winter,April
2022-04-06,21240,8.6,winter,April
2022-04-07,15318,9.1,winter,April
2022-04-08,39083,12.8,winter,April
2022-04-09,29743,11.4,winter,April
2022-04-10,25148,8.6,winter,April
2022-04-11,33240,8.8,winter,April
2022-04-12,42077,13.4,winter,April
2022-04-13,43900,15.4,winter,April
2022-04-14,40113,16.3,winter,April
2022-04-15,44870,15.7,winter,April
2022-04-16,37086,15.7,winter,April
2022-04-17,24587,8.3,winter,April
2022-04-18,24478,7.9,winter,April
2022-04-19,25767,7.6,winter,April
2022-04-20,37603,9.4,winter,April
2022-04-21,33934,10.6,winter,April
2022-04-22,43266,14.6,winter,April
2022-04-23,41933,13.3,winter,April
2022-04-24,37019,12.8,winter,April
2022-04-25,31458,10.4,winter,April
2022-04-26,32655,11.5,winter,April
2022-04-27,36068,11.6,winter,April
2022-04-28,34341,8.2,winter,April
2022-04-29,37988,10.4,winter,April
2022-04-30,45671,12.9,winter,April
2022-05-01,33385,13.6,spring,May
2022-05-02,18765,12.1,spring,May
2022-05-03,32498,12.4,spring,May
2022-05-04,27429,12.0,spring,May
2022-05-05,38419,17.2,spring,May
2022-05-06,12153,14.799999999999999,spring,May
2022-05-07,7142,10.0,spring,May
2022-05-08,22093,10.4,spring,May
2022-05-09,32102,13.5,spring,May
2022-05-10,35819,15.399999999999999,spring,May
2022-05-11,36819,16.1,spring,May
2022-05-12,38368,17.1,spring,May
2022-05-13,33482,16.0,spring,May
2022-05-14,28220,17.9,spring,May
2022-05-15,38165,18.8,spring,May
2022-05-16,27596,20.399999999999995,spring,May
2022-05-17,40025,19.7,spring,May
2022-05-18,40952,17.8,spring,May
2022-05-19,31708,15.5,spring,May
2022-05-20,29515,15.4,spring,May
2022-05-21,39710,21.2,spring,May
2022-05-22,36477,27.8,spring,May
2022-05-23,35701,21.0,spring,May
2022-05-24,36720,17.4,spring,May
2022-05-25,39734,16.2,spring,May
2022-05-26,39032,16.4,spring,May
2022-05-27,31499,20.2,spring,May
2022-05-28,29240,20.4,spring,May
2022-05-29,36144,20.7,spring,May
2022-05-30,36047,23.3,spring,May
2022-05-31,35014,28.3,spring,May
2022-06-01,26699,17.8,summer,June
2022-06-02,29385,20.3,summer,June
2022-06-03,36084,19.5,summer,June
2022-06-04,38474,21.9,summer,June
2022-06-05,34426,20.0,summer,June
2022-06-06,33256,22.2,summer,June
2022-06-07,30992,21.8,summer,June
2022-06-08,37266,23.7,summer,June
2022-06-09,34980,24.4,summer,June
2022-06-10,36783,21.8,summer,June
2022-06-11,34394,21.8,summer,June
2022-06-12,26659,20.5,summer,June
2022-06-13,33259,24.2,summer,June
2022-06-14,37114,23.9,summer,June
2022-06-15,39066,23.3,summer,June
2022-06-16,30320,20.3,summer,June
2022-06-17,35678,25.2,summer,June
2022-06-18,32259,21.7,summer,June
2022-06-19,31210,17.3,summer,June
2022-06-20,33225,20.5,summer,June
2022-06-21,29257,22.1,summer,June
2022-06-22,28201,19.100000000000005,summer,June
2022-06-23,35255,19.2,summer,June
2022-06-24,37501,21.9,summer,June
2022-06-25,35571,25.8,summer,June
2022-06-26,30895,27.0,summer,June
2022-06-27,23869,24.300000000000004,summer,June
2022-06-28,36583,22.4,summer,June
2022-06-29,36729,23.9,summer,June
2022-06-30,34646,25.4,summer,June
2022-07-01,30610,28.1,summer,July
2022-07-02,26155,28.7,summer,July
2022-07-03,26785,26.9,summer,July
2022-07-04,27944,25.6,summer,July
2022-07-05,26262,25.9,summer,July
2022-07-06,33116,26.0,summer,July
2022-07-07,33475,24.2,summer,July
2022-07-08,29151,23.5,summer,July
2022-07-09,36162,24.7,summer,July
2022-07-10,34032,23.4,summer,July
2022-07-11,32802,24.0,summer,July
2022-07-12,33233,25.8,summer,July
2022-07-13,35569,28.9,summer,July
2022-07-14,35410,26.6,summer,July
2022-07-15,35399,26.1,summer,July
2022-07-16,33035,24.3,summer,July
2022-07-17,32138,25.7,summer,July
2022-07-18,24379,26.199999999999996,summer,July
2022-07-19,35417,28.2,summer,July
2022-07-20,34653,31.300000000000004,summer,July
2022-07-21,31614,29.8,summer,July
2022-07-22,32898,30.9,summer,July
2022-07-23,31757,30.3,summer,July
2022-07-24,29091,31.100000000000005,summer,July
2022-07-25,28448,29.8,summer,July
2022-07-26,36303,25.9,summer,July
2022-07-27,36586,25.5,summer,July
